Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
41,Yes,Travel_Rarely,Sales,1,College,Life Sciences,Medium,Female,High,2,Sales Executive,Very High,Single,5993,8,Yes,11,Excellent,Low,None,8,0,1,6,4,0,5
49,No,Travel_Frequently,Research & Development,8,Below College,Life Sciences,High,Male,Medium,2,Research Scientist,Medium,Married,5130,1,No,23,Outstanding,Very High,Basic,10,3,3,10,7,1,7
37,Yes,Travel_Rarely,Research & Development,2,College,Other,Very High,Male,Medium,1,Laboratory Technician,High,Single,2090,6,Yes,15,Excellent,Medium,None,7,3,3,0,0,0,0
33,No,Travel_Frequently,Research & Development,3,Master,Life Sciences,Very High,Female,High,1,Research Scientist,High,Married,2909,1,Yes,11,Excellent,High,None,8,3,3,8,7,3,0
27,No,Travel_Rarely,Research & Development,2,Below College,Medical,Low,Male,High,1,Laboratory Technician,Medium,Married,3468,9,No,12,Excellent,Very High,Basic,6,3,3,2,2,2,2
32,No,Travel_Frequently,Research & Development,2,College,Life Sciences,Very High,Male,High,1,Laboratory Technician,Very High,Single,3068,0,No,13,Excellent,High,None,8,2,2,7,7,3,6
59,No,Travel_Rarely,Research & Development,3,Bachelor,Medical,High,Female,Very High,1,Laboratory Technician,Low,Married,2670,4,Yes,20,Outstanding,Low,High,12,3,2,1,0,0,0
30,No,Travel_Rarely,Research & Development,24,Below College,Life Sciences,Very High,Male,High,1,Laboratory Technician,High,Divorced,2693,1,No,22,Outstanding,Medium,Basic,1,2,3,1,0,0,0
38,No,Travel_Frequently,Research & Development,23,Bachelor,Life Sciences,Very High,Male,Medium,3,Manufacturing Director,High,Single,9526,0,No,21,Outstanding,Medium,None,10,2,3,9,7,1,8
36,No,Travel_Rarely,Research & Development,27,Bachelor,Medical,High,Male,High,2,Healthcare Representative,High,Married,5237,6,No,13,Excellent,Medium,Moderate,17,3,2,7,7,7,7
35,No,Travel_Rarely,Research & Development,16,Bachelor,Medical,Low,Male,Very High,1,Laboratory Technician,Medium,Married,2426,0,No,13,Excellent,High,Basic,6,5,3,5,4,0,3
29,No,Travel_Rarely,Research & Development,15,College,Life Sciences,Very High,Female,Medium,2,Laboratory Technician,High,Single,4193,0,Yes,12,Excellent,Very High,None,10,3,3,9,5,0,8
31,No,Travel_Rarely,Research & Development,26,Below College,Life Sciences,Low,Male,High,1,Research Scientist,High,Divorced,2911,1,No,17,Excellent,Very High,Basic,5,1,2,5,2,4,3
34,No,Travel_Rarely,Research & Development,19,College,Medical,Medium,Male,High,1,Laboratory Technician,Very High,Divorced,2661,0,No,11,Excellent,High,Basic,3,2,3,2,2,1,2
28,Yes,Travel_Rarely,Research & Development,24,Bachelor,Life Sciences,High,Male,Medium,1,Laboratory Technician,High,Single,2028,5,Yes,14,Excellent,Medium,None,6,4,3,4,2,0,3
29,No,Travel_Rarely,Research & Development,21,Master,Life Sciences,Medium,Female,Very High,3,Manufacturing Director,Low,Divorced,9980,1,No,11,Excellent,High,Basic,10,1,3,10,9,8,8
32,No,Travel_Rarely,Research & Development,5,College,Life Sciences,Low,Male,Very High,1,Research Scientist,Medium,Divorced,3298,0,Yes,12,Excellent,Very High,Moderate,7,5,2,6,2,0,5
22,No,Non-Travel,Research & Development,16,College,Medical,Very High,Male,Very High,1,Laboratory Technician,Very High,Divorced,2935,1,Yes,13,Excellent,Medium,Moderate,1,2,2,1,0,0,0
53,No,Travel_Rarely,Sales,2,Master,Life Sciences,Low,Female,Medium,4,Manager,Very High,Married,15427,2,No,16,Excellent,High,None,31,3,3,25,8,3,7
38,No,Travel_Rarely,Research & Development,2,Bachelor,Life Sciences,Very High,Male,High,1,Research Scientist,Very High,Single,3944,5,Yes,11,Excellent,High,None,6,3,3,3,2,1,2
24,No,Non-Travel,Research & Development,11,College,Other,Low,Female,Very High,2,Manufacturing Director,High,Divorced,4011,0,No,18,Excellent,Very High,Basic,5,5,2,4,2,1,3
36,Yes,Travel_Rarely,Sales,9,Master,Life Sciences,High,Male,Medium,1,Sales Representative,Low,Single,3407,7,No,23,Outstanding,Medium,None,10,4,3,5,3,0,3
34,No,Travel_Rarely,Research & Development,7,Master,Life Sciences,Low,Female,High,3,Research Director,Medium,Single,11994,0,No,11,Excellent,High,None,13,4,3,12,6,2,11
21,No,Travel_Rarely,Research & Development,15,College,Life Sciences,High,Male,High,1,Research Scientist,Very High,Single,1232,1,No,14,Excellent,Very High,None,0,6,3,0,0,0,0
34,Yes,Travel_Rarely,Research & Development,6,Below College,Medical,Medium,Male,High,1,Research Scientist,Low,Single,2960,2,No,11,Excellent,High,None,8,2,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,Bachelor,Other,High,Female,High,5,Manager,High,Divorced,19094,4,No,11,Excellent,Very High,Basic,26,3,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,Below College,Life Sciences,Medium,Female,Low,1,Research Scientist,Low,Single,3919,1,Yes,22,Outstanding,Medium,None,10,5,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,Master,Marketing,High,Male,High,2,Sales Executive,Medium,Married,6825,0,No,11,Excellent,Very High,Basic,10,2,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,Master,Medical,Low,Female,Medium,3,Healthcare Representative,Very High,Married,10248,3,No,14,Excellent,Very High,Basic,24,4,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,Master,Marketing,Medium,Female,High,5,Manager,Low,Single,18947,3,No,12,Excellent,Very High,None,22,2,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,Bachelor,Medical,High,Male,High,1,Laboratory Technician,Very High,Single,2496,4,No,11,Excellent,Very High,None,7,3,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,Master,Other,Very High,Male,High,2,Healthcare Representative,Very High,Married,6465,2,Yes,13,Excellent,Very High,None,9,5,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,College,Medical,Very High,Male,Medium,1,Laboratory Technician,High,Single,2206,1,No,13,Excellent,Low,None,10,5,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,Bachelor,Technical Degree,Very High,Male,High,2,Sales Representative,Very High,Married,2086,3,No,14,Excellent,High,Basic,19,6,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,Bachelor,Medical,Medium,Male,High,1,Research Scientist,Very High,Married,2293,2,Yes,16,Excellent,Low,Basic,6,2,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,College,Medical,Very High,Female,Very High,1,Research Scientist,High,Divorced,2645,1,No,12,Excellent,Very High,Moderate,6,3,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,College,Marketing,Low,Male,Medium,1,Sales Representative,High,Married,2683,1,Yes,14,Excellent,High,None,3,2,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,Bachelor,Marketing,Very High,Female,High,1,Sales Representative,Very High,Married,2014,1,No,13,Excellent,Low,None,2,3,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,Master,Life Sciences,Medium,Female,Medium,1,Research Scientist,Low,Married,3419,9,Yes,14,Excellent,Very High,Basic,6,3,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,Bachelor,Life Sciences,High,Female,Very High,2,Sales Executive,Low,Married,5376,2,No,19,Excellent,Low,Moderate,10,3,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,College,Other,High,Male,High,1,Laboratory Technician,Very High,Divorced,1951,1,No,12,Excellent,High,Basic,1,3,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,Master,Life Sciences,Very High,Female,High,1,Laboratory Technician,Low,Divorced,2341,1,No,13,Excellent,Very High,Basic,1,6,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,Bachelor,Life Sciences,Low,Male,Low,1,Laboratory Technician,High,Single,2293,1,No,12,Excellent,High,None,1,2,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,Bachelor,Life Sciences,Very High,Male,High,3,Sales Executive,High,Single,8726,1,No,15,Excellent,Very High,None,9,0,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,College,Medical,High,Female,High,2,Laboratory Technician,Very High,Single,4011,1,No,23,Outstanding,Very High,None,12,2,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,Bachelor,Technical Degree,Medium,Female,High,5,Research Director,High,Married,19545,1,No,12,Excellent,Very High,None,23,0,3,22,15,15,8
34,No,Non-Travel,Sales,23,Master,Marketing,Medium,Male,High,2,Sales Executive,High,Single,4568,0,No,20,Outstanding,High,None,10,2,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,College,Life Sciences,Medium,Male,High,1,Research Scientist,Medium,Married,3022,4,No,21,Outstanding,Low,None,8,1,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,Master,Marketing,Low,Male,High,2,Sales Executive,Very High,Single,5772,4,Yes,21,Outstanding,High,None,14,4,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,Below College,Life Sciences,Very High,Male,Very High,1,Laboratory Technician,Very High,Married,2269,1,No,19,Excellent,Very High,None,1,2,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,College,Life Sciences,Low,Male,Medium,3,Laboratory Technician,High,Single,5381,9,Yes,13,Excellent,Very High,None,23,2,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,Master,Technical Degree,High,Male,High,1,Laboratory Technician,High,Single,3441,1,Yes,13,Excellent,High,None,2,3,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,Doctor,Marketing,Medium,Female,High,2,Sales Executive,Low,Divorced,5454,5,Yes,21,Outstanding,High,Basic,9,2,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,College,Medical,High,Male,Medium,3,Healthcare Representative,Low,Married,9884,2,Yes,13,Excellent,High,Basic,10,3,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,Bachelor,Marketing,High,Female,Medium,2,Sales Executive,Very High,Married,4157,7,Yes,19,Excellent,High,Basic,5,2,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,College,Life Sciences,Low,Female,High,3,Research Director,Very High,Single,13458,1,Yes,12,Excellent,High,None,15,1,3,15,14,8,12
